run,mAP@50,mAP@50:95,AP_S,AP_M,AP_L,AR@100,n_det,file
expC_10pct_real_10k_ml,0.8959974662325184,0.6187515563605247,0.5404114071569392,0.618441985610284,0.7060468766534955,0.7349089841456253,96445,results/per_size/expC_10pct_real_10k_ml.json
expC_1pct_real_10k_ml,0.6665965388206286,0.39574240776201397,0.3614074431658422,0.4534755662052758,0.3462458951753118,0.5954345273047562,180329,results/per_size/expC_1pct_real_10k_ml.json
expC_1pct_real_1k_smoke_ml,0.4776549231368518,0.26443418067779856,0.30343316684929095,0.3411393195808405,0.13303163364975656,0.5237375220199647,813000,results/per_size/expC_1pct_real_1k_smoke_ml.json
expC_25pct_real_10k_ml,0.9465769553819696,0.7120271087490335,0.6364900530746371,0.697448578106969,0.8166136122161296,0.7822372284204345,56483,results/per_size/expC_25pct_real_10k_ml.json
expC_5pct_real_10k_ml,0.851632550296274,0.5659883881379616,0.5197175097864359,0.5760892750567848,0.6107633156977972,0.7143570170287727,106747,results/per_size/expC_5pct_real_10k_ml.json
